category,卡方检验统计量,p-value,自由度,90%置信度下是否关联
Directories,38.00000000000001,0.3783611244546835,36,False
Discounts,34.44444444444445,0.4947590262873983,35,False
Documents,151.37500000000003,0.5447384782176191,154,False
Domains,40.0,0.29702839792467406,36,False
Drawing,3.0,0.22313016014842982,2,False
Economics,0.0,1.0,0,False
Editing,3.0,0.22313016014842982,2,False
Education,2088.480881226054,1.0,2703,False
Electronic Signature,671.175,0.9999999999999978,979,False
Email,352.5333333333333,0.10187021282625416,320,False
Emergency,13.500000000000002,0.33376898370805486,12,False
Energy,31.77777777777777,0.8199336116377213,40,False
Engagement,20.611111111111118,0.5448701963214635,22,False
England,216.5925925925926,0.8587145271160285,240,False
Enterprise,343.7499999999999,0.46323679514449956,342,False
Entertainment,347.85641025641024,0.5373736270143911,351,False
Environment,218.79000000000008,0.8333578931303011,240,False
European,5.0,0.2872974951836458,4,False
Events,2481.355709876543,0.9999999999999973,3053,False
Family,56.0,0.32721109064341775,52,False
Fashion,4.0,0.26146412994911117,3,False
Fax,0.0,1.0,1,False
Feedback,27.0,0.46379481562055863,27,False
Feeds,543.8333333333334,0.9035584908021909,588,False
File Sharing,0.0,1.0,0,False
Financial,1615.6166666666668,0.8031150520933585,1665,False
Fitness,498.7833333333334,0.8229533737992727,529,False
Fonts,0.0,1.0,0,False
Food,1705.7916666666667,0.9999999999999548,2160,False
Forms,7.500000000000001,0.27706844336610725,6,False
Forums,6.000000000000001,0.19914827347145564,4,False
French,12.000000000000002,0.9799080364605551,24,False
Funding,0.0,1.0,0,False
Gambling,0.0,1.0,0,False
Games,2045.6666666666672,0.7518402356024124,2090,False
Genealogy,0.0,1.0,0,False
Geography,11.375,0.32905781372191806,10,False
German,21.599999999999998,0.6031277799520907,24,False
Gifts,3.9375,0.7869474231094469,7,False
Goals,0.0,1.0,1,False
Government,2224.7410213243547,0.9999744415963427,2501,False
Graphics,0.0,1.0,0,False
Greek,11.0,0.809485282519508,16,False
Grocery,10.0,0.2650259152973616,8,False
HTML5,32.0,0.3675273597655652,30,False
Hacking,0.0,1.0,0,False
Hardware,0.0,1.0,1,False
Health,767.1031746031747,0.8787564398231291,814,False
Healthcare,28.000000000000004,0.2600399224594337,24,False
History,85.6296296296296,0.7668828188191494,96,False
Holidays,22.0,0.854044010525322,30,False
Home Automation,14.0,0.3007082761743609,12,False
Hosting,11.25,0.25896125611352744,9,False
Hotels,320.5714285714286,0.9879358263533058,380,False
Housing,25.72500000000001,0.3672645452466071,24,False
Humor,3047.3288690476193,0.9732736405258763,3200,False
Identity,3.0,0.22313016014842982,2,False
Images,181.12500000000003,0.28334442410180594,171,False
Indian,41.25,0.251834597953517,36,False
Intelligence,0.0,1.0,0,False
Internet of Things,12.0,0.21330930508341653,9,False
Invoicing,8.0,0.23810330555354436,6,False
Italian,1.875,0.5987516330675617,3,False
Italy,0.0,1.0,0,False
Japanese,94.0,0.9560218784934773,119,False
Jobs,1442.0949561403509,0.9999983979029936,1700,False
Keywords,6.000000000000001,0.19914827347145564,4,False
Korean,0.0,1.0,0,False
Language,109.99999999999999,0.32480217927081373,104,False
Law,0.0,1.0,1,False
Learning Management Systems,0.0,1.0,0,False
Library,15.000000000000004,0.24143645097027538,12,False
Lists,99.00000000000003,0.24227736746379908,90,False
Localization,822.7191666666665,0.9999999574666152,1050,False
Location,18.0,0.45565260432241894,18,False
Loyalty,0.0,1.0,0,False
Lyrics,147.58333333333334,0.6727152354974305,156,False
Machine Learning,0.0,1.0,0,False
Mail,0.0,1.0,0,False
Management,0.0,1.0,1,False
Mapping,165281.72002319028,1.0,238140,False
Marine,19.0,0.39182348254493976,18,False
Marketing,344.66666666666674,0.21699536664465466,325,False
Marketplace,43.99999999999999,0.5142485966574867,45,False
Mashups,0.0,1.0,0,False
Math,0.0,1.0,0,False
Media,20.999999999999996,0.2794130478623685,18,False
Medical,17.999999999999996,0.5874082443319419,20,False
Meetings,4.0,0.26146412994911117,3,False
Meme,0.0,1.0,0,False
Messaging,8479.717784881243,1.0,10320,False
Metadata,0.0,1.0,0,False
Mexican,8.4,0.5898270213105775,10,False
Mobile,11499.111515583245,1.0,13530,False
Monetization,0.0,1.0,1,False
Monitoring,133.97222222222223,0.7716493434231607,147,False
Mountains,0.0,1.0,0,False
Movies,1195.3931972789117,0.9999875254108526,1408,False
Museums,6.0,0.30621891841327875,5,False
Music,29520.663202616393,1.0,34104,False
Natural Language Processing,26.812499999999996,0.47394558818631605,27,False
Nature,0.0,1.0,0,False
Networking,35.20833333333333,0.45834633316787354,35,False
New York City,42.4,0.9586445861110039,60,False
News Services,11748.403695409981,0.9999999999999843,12932,False
Non-Profit,9.624999999999998,0.648821534618383,12,False
None,1182.4017094017095,0.2472249099988145,1150,False
Nordic,6.000000000000003,0.647231888782231,8,False
Notes,0.0,1.0,1,False
Notifications,37.47727272727272,0.9353021135274999,52,False
Nutrition,0.0,1.0,0,False
OAuth,0.0,1.0,0,False
OCR,0.0,1.0,0,False
Office,66.0,0.16952457136622645,56,False
Open Data,16.0,0.31337427753639774,14,False
Open Source,0.0,1.0,0,False
Optimization,0.0,1.0,0,False
Organization,0.0,1.0,0,False
PDF,30.066666666666663,0.705096820723286,35,False
Pakistani,0.0,1.0,0,False
Panorama,0.0,1.0,0,False
Parking,0.0,1.0,0,False
Passports,0.0,1.0,0,False
Patents,0.0,1.0,1,False
Payments,50.000000000000014,0.3938755170882834,48,False
Performance,0.0,1.0,0,False
Personal Information Management,42.000000000000014,0.226962832847802,36,False
Pets,69.33333333333334,0.1917103766313539,60,False
Photos,26878.480348460565,1.0,36260,False
Plugins,26.666666666666664,0.3202287363767992,24,False
Podcasts,8.0,0.23810330555354436,6,False
Police,0.0,1.0,0,False
Politics,14.000000000000005,0.3007082761743606,12,False
Polls,8.0,0.23810330555354436,6,False
Postcards,0.0,1.0,0,False
Prices,38.999999999999986,0.46987819777120743,39,False
Printing,96.0,0.5382862397260121,98,False
Privacy,0.0,1.0,1,False
Products,5.000000000000001,0.2872974951836456,4,False
Profiles,3.0,0.22313016014842982,2,False
Project Management,64.1875,0.46990384523183715,64,False
Prototype,0.0,1.0,0,False
Q&A,62.99999999999999,0.3706686588112809,60,False
QR Codes,3.3333333333333335,0.5036682742334984,4,False
Quantified Self,0.0,1.0,0,False
Ratings,23.333333333333332,0.5001986183281004,24,False
Real Estate,2072.5119340294254,1.0,3120,False
Real Time,122.82142857142861,0.4115027381445018,120,False
Recommendations,249.99999999999997,0.1862929378043001,231,False
Recreation,2.4000000000000004,0.6626272662068446,4,False
Reference,8599.734993894994,0.9999969131398012,9200,False
Refunds,4.0,0.26146412994911117,3,False
Religion,27.0,0.3044531593776482,24,False
Rentals,109.2962962962963,0.9948384338791837,150,False
Reporting,70.41666666666667,0.3321740137872813,66,False
Reputation,0.0,1.0,0,False
Restaurants,38.99999999999999,0.3363939795123104,36,False
SEO,342.14285714285717,0.578463125831638,348,False
Safety,2.1,0.7173723856778684,4,False
Sales,8.0,0.23810330555354436,6,False
Scheduling,0.0,1.0,0,False
Science,94.85384615384616,0.9562715561485995,120,False
Scottish,0.0,1.0,0,False
Search,58676.08531925929,1.0,62480,False
Security,45.0,0.3474396682659315,42,False
Semantics,324.53055555555557,0.9103481507063739,360,False
Sentiment,23.833333333333336,0.47116031207164133,24,False
Shipping,216.25,0.9999977192822163,319,False
Social,58226.841087247805,1.0,66008,False
Software-as-a-Service,143.92857142857144,0.2254604595992703,132,False
Solar,0.0,1.0,0,False
Spam,0.0,1.0,1,False
Spanish,92.06349206349206,0.9982200344852907,135,False
Sports,5568.962265120147,1.0,7797,False
Spreadsheets,35.44444444444444,0.4472536207147937,35,False
Statistics,137.33333333333331,0.35761778421082835,132,False
Stocks,18.000000000000007,0.26266556067232205,15,False
Storage,474.28027528027536,1.0,840,False
Streaming,111.96527777777777,0.15845579417975933,98,False
Subtitles,0.0,1.0,0,False
Summary,0.0,1.0,0,False
Supernatural,0.0,1.0,0,False
Support,0.0,1.0,0,False
Surveys,6.000000000000001,0.3062189184132777,5,False
Sustainability,82.74999999999999,0.42511274138600647,81,False
TV,292.3666666666667,0.6129566695119607,300,False
Tasks,12.0,0.21330930508341653,9,False
Taxes,0.0,1.0,0,False
Teleconferencing,0.0,1.0,0,False
Telephony,4008.876273344651,0.9997372553655388,4324,False
Testing,10.000000000000002,0.26502591529736164,8,False
Text,9.999999999999998,0.26502591529736186,8,False
Text-to-Speech,0.0,1.0,0,False
Tickets,50.0,0.28148987435603234,45,False
Time,5.0,0.2872974951836458,4,False
Time Tracking,16.0,0.31337427753639774,14,False
Tools,3004.75,0.9957959161105726,3212,False
Tourism,40.0,0.29702839792467406,36,False
Transcription,0.0,1.0,1,False
Translation,128.25,0.5760802821644381,132,False
Transportation,1173.0000000000005,0.9999986289762086,1408,False
Travel,16761.69320431199,1.0,20475,False
Trivia,23.625,0.31158069893496654,21,False
Tweets,18.104166666666668,0.7979262105413483,24,False
URL Shortener,6.000000000000001,0.19914827347145564,4,False
URLs,0.0,1.0,0,False
Validation,0.0,1.0,0,False
Verification,0.0,1.0,0,False
Video,14157.181397486558,1.0,20812,False
Visualizations,4618.653998038574,0.9844273025867988,4828,False
VoIP,21.0,0.2794130478623683,18,False
Voice,925.507142857143,0.999999662527204,1148,False
Voting,0.0,1.0,1,False
Weapons,5.000000000000001,0.2872974951836456,4,False
Weather,2517.8280130385483,0.9987466450622323,2736,False
Web Site Management,286.8055555555556,0.8235203170735959,310,False
WebRTC,0.0,1.0,0,False
Webcams,6.000000000000001,0.6472318887822313,8,False
Weddings,5.0,0.5438131158833297,6,False
Wi-Fi,12.000000000000004,0.0619688044166589,6,True
Widgets,4418.385521885522,0.9999999998573293,5025,False
Wiki,318.2222222222223,0.9016265423172547,352,False
Wine,42.00000000000002,0.9625812027207667,60,False
Words,0.0,1.0,0,False
Zip Codes,0.0,1.0,0,False
eBooks,68.83333333333334,0.28656713732126715,63,False
eCommerce,38746.63222377552,1.0,51766,False
