,/api/natureserve-species,/api/cnet,/api/skype,/api/8coupons,/api/google-picasa,/api/hotelscombined,/api/clearforest-semantic-web-services1,/api/amazon-marketplace-web-service,/api/indeed,/api/ookaboo,/api/allogarage,/api/windows-live-id-web-authentication,/api/travelfusion,/api/google-custom-search,/api/bbc,/api/tailrank,/api/grabicon,/api/twilio-sms,/api/twickit,/api/instagram-graph,/api/union-county-nc-gis,/api/eventful,/api/google-cloud-translation,/api/lastfm,/api/google-contacts,/api/google-base,/api/groups-near-you,/api/walk-score,/api/shoppingcom,/api/upcomingorg,/api/google-maps-places,/api/amazon-ec2,/api/google-maps-data,/api/microsoft-adcenter,/api/viddler,/api/movie-database-tmdb,/api/dezrez,/api/livejournal,/api/shadows,/api/sensebot,/api/ebay-finding,/api/buzzdata,/api/bing-maps-search,/api/backtype,/api/google-drive,/api/amazon-dynamodb,/api/bing-maps-locations,/api/faroo,/api/plos-search,/api/bing-maps,/api/google-geocoding,/api/microsoft-bing,/api/500px,/api/geoportail,/api/zvents,/api/twilio,/api/yahoo-shopping,/api/ebay,/api/google-adsense,/api/yahoo-term-extraction,/api/esv-bible-lookup,/api/musicbrainz,/api/freebiesms,/api/microsoft-bing-maps,/api/bolcom-open,/api/ubio-namebank,/api/google-search,/api/yolink,/api/23,/api/howcast,/api/careerjet,/api/raw-sugar,/api/elance,/api/linkup-job-search-engine,/api/fenopy,/api/mendeley,/api/rxnlp-cluster-sentences-and-short-texts,/api/yelp-fusion,/api/friendfeed,/api/zoopla,/api/scribd-platform,/api/facebook-social-plugins,/api/findory,/api/linkshare,/api/yahoo-local-search,/api/booli,/api/ning,/api/netvibes,/api/musixmatch,/api/tweet-scan,/api/slideshare,/api/trynt,/api/amazon-s3,/api/facebook-graph,/api/yahoo-traffic,/api/google-buzz,/api/yahoo-music,/api/google-analytics-managment,/api/zappos,/api/aonaware-dictionary,/api/autodesk-freewheel,/api/getglue,/api/backtweets,/api/retailmenotcom-community-ideas,/api/cleartrip,/api/oodle,/api/bitly,/api/juju-publisher,/api/vimeo,/api/arkive,/api/google-earth,/api/nestoria,/api/gigablast,/api/google-plus,/api/google-client-authentication,/api/blipfm,/api/aol-video,/api/yahoo-maps,/api/netflix,/api/technorati,/api/43things,/api/google-mashup-editor,/api/true-knowledge,/api/twitter,/api/yahoo-related-suggestions,/api/yahoo-video-search,/api/dailymotion,/api/careerbuilder,/api/ebay-shopping,/api/mtv,/api/zazzle,/api/google-books,/api/yahoo-answers,/api/linkedin,/api/yandex,/api/yahoo-my-web-search,/api/blogger,/api/walmart-open,/api/adility,/api/aol-pictures,/api/wikipedia,/api/google-shopping-search,/api/itunes-and-itunes-connect,/api/facebook,/api/4shared,/api/bookingmarkets,/api/twitter-search,/api/geonames,/api/evature-travel-search,/api/yahoo-image-search,/api/topsy,/api/omgili,/api/rotten-tomatoes,/api/fotolia,/api/bing,/api/google-maps,/api/blekko,/api/yahoo-audio-search,/api/blinkx,/api/411sync,/api/dbpedia,/api/weather-channel,/api/new-york-times-best-sellers,/api/direct-textbook,/api/anything2pdf,/api/sensis-business-search,/api/travelport,/api/digg,/api/splogspot,/api/hoiio-sms,/api/creative-commons,/api/hoiio-voice,/api/new-york-times-movie-reviews,/api/best-buy-products,/api/amazon-product-advertising,/api/youtube,/api/allocin%C3%A3%C2%A9-movie,/api/delicious-0,/api/wolfram-alpha,/api/yahoo-mail,/api/rxnlp-text-similarity,/api/sears,/api/daylife,/api/outsidein,/api/google-chart,/api/veoh,/api/soundcloud,/api/zomato-foodie-index,/api/spotify-metadata,/api/flickr,/api/tinysong,/api/google-shopping-content,/api/tumblr,/api/google-app-engine,/api/yahoo-search,/api/yahoo-geocoding,/api/dealsurf,/api/twitpic,/api/groupon,/api/google-gadgets,/api/addthis-services,/api/futef-wikipedia-api,/api/yummly,/api/groveio,/api/strikeiron-reverse-phone-and-address-append,/api/etsy,/api/commission-junction,/api/crunchbase,/api/lyricwiki,/api/livevideo,/api/quova,/api/shopzilla,/api/yahoo-query-language-graphql,/api/ontok,/api/box,/api/freebase,/api/google-adwords,/api/avvo,/api/new-york-times-article-search,/api/alexa-web-search,/api/google-translator-toolkit
Mashup: Food in N. Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Molu The Search Spider Places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: opsdo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: ONNLI.com Job Search and Realtime Job Listing,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Overseas Jobs For Americans,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Enchanting destinations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: eMusic and WOXY Mashup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Facebook Search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Orb24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Mobile Pharma Search,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mashup: Mafoochy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
